toxic_sentence	neutral_sentence	lang
"#LandderVollidioten #geisteskrank - ""Kampf gg #Trump"" (gg #Putin sowieso) Deutsches #Regime im Größenwahn ...."	"Ein Land voller ungeeigneter Menschen - ""Kampf gegen Trump"""	de
#Lindner steckt heute Abend schon seinen Kopf in den Arsch von #Merkel widerlich #FDP	Lindner steckt heute schon seinen Kopf in Merkels Mund.	de
Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Dummgelaber der Pest (Merkel) und Cholera (Schulz) nicht mehr hören!	Wir Deutschen wollen und können nicht mehr von dieser Pest und Cholera hören!	de
So ein schäbiger Lump, lässt Kinder im Krieg allein und Fahnenflucht	Solch eine Person, lässt Kinder allein im Krieg und flieht Flagge	de
ich glaube nicht, das die Mehrheit der Bevölkerung dumm ist oder kommen nur Dumme zu Ihren Auftritten ?	Ich glaube nicht, dass die Mehrheit der Bevölkerung unintelligent ist, oder nur unint	de
Wer will ein Hering So Dumm wie die Göring🤯	Wer will einen Hering so sehr wie der Goering?	de
Und N24 geht mir auch aufs Arschloch heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!	Und N24 holt mich auch heute Morgen von Trump - er beschwert sich	de
Die Hetzer der ÖR Medien haben wieder Hochkonjunktur dieses ganze Schweinejournalisten Pack gehört entsorgt und dass schnellstmöglich. AFD	Die Medien haben wieder den Boom gehört, den die ganze Schweinerei der Journalisten verursacht hat.	de
Verdammt die Olle Merkel tritt wieder an !!!	Oh nein, Olle Merkel kandidiert wieder!	de
Der Fettsack soll mal besser den Kopf zu machen.	Der Mann sollte sich besser zusammenreißen.	de
RAUS MIT DIESEN IRREN AUS DEM BUNDESTAG, sollen ihre Konfettischwulenparaden woanders feiern, am besten in Türkei bei Özdingens !	Ich möchte Sie bitten, die Kommission zu unterstützen, die sich mit der	de
dieser Holtmann scheint ein Grüner-Bastard zu sein! #BerichtAusBerlin	Dieser Holtmann scheint ein Grüner zu sein! #ReportAusBerlin	de
"Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜"	Moin, moin, sind Sie alle noch gesund und fröhlich mit all dem mentalen	de
Na die Alte fliegt ja sehr gerne um die Welt. Man sollte jede Passagierliste nach Der durchsuchen, und Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮	Die alte Dame fliegt gerne um die Welt, also sollten Sie jede Passagierliste überprüfen.	de
auch heute wieder nur drittklassige #Laiendarsteller in einem extrem beschissenen #Tatort #ARD	Heute wieder nur dritte Klasse #Laiendarakteurs in einem extrem schlechten	de
#Grüne und #FDP kriechen #Merkel doch jetzt schon in den Arsch damit sie nur schnell an die Macht kommen #CDU	Die Grünen und die FDP kriechen schon, damit sie schnell an die Macht kommen können.	de
Jetzt melden sich die Vasallen Merkels!	Die Vasallen von Merkel melden sich.	de
Nö, der sieht dumm aus. 😾	Nein, er sieht nicht weise aus.	de
warum lädt man eine derart strunzdumme Frau #Demirkan bei #Maischberger ein #ARD	Warum lädst du eine solche Frau zu #Maischberger #ARD ein?	de
Sagt mal, kommt .es nur mir so vor, oder ist das Staasfunk Fernsehprogramm wirklich so scheiße?	Sagen Sie mir, ist es nur ich, oder ist die TV-Sendung der National Broadcasting Company	de
Mannheim, weltoffen und kunterbunt. Und strunzdumme Multikultiliebhaber. Verblödete halt	Mannheim ist multikulturell	de
#Sexuallkunde für #Flüchtlinge und #Migranten ... #Mama #Merkel bringt #Asylanten das ficken bei ... #Vergewaltigungen funktionieren bereits	#Sexualpädagogik für #Flüchtlinge und #Migranten... #Mama #	de
Ja schnell alle Bäume weg, 5G Handys kaufen und Bürgermeister den Sack lutschen du kleine Profesora	Ja, schnell alle Bäume entfernen, 5G-Telefone kaufen und Bürgermeister.	de
UND DER DUSSELIGE GAUCK DENKT ER WÄRE WIEDER IN DER DDR UND LÄßT SICH HONECKERmäßig ALIMENTIEREN, GUTEN MORGEN-DEUTSCHLAND-??	Und der gleiche Gauk denkt, er sei wieder in der DDR und lässt sich	de
Die Caritativen Einrichtungen sind mir jetzt sowas von scheissegal! Habe Austritt aus der Kirch beantragt.!!!!!!!!	Ich kümmere mich nicht mehr um Wohltätigkeitsorganisationen!	de
Die Randalierer von Hamburg müssen den entstandenen Schaden ersetzen und. notfalls in Arbeitslagern abarbeiten.	Die Hamburger Aufständischen müssen den Schaden wieder gutmachen und gegebenenfalls in Arbeitskräften arbeiten.	de
...sie wird diese 4jahre noch absitzen und den befällt sie der Alzheimer..... Und wenn doch nicht dann auch egal...wir sind trotzdem am Arsch	Sie wird die nächsten vier Jahre sitzen und dann wird sie Alzheimer bekommen und wenn sie	de
Schon ein Wahnsinn....obwohl nichtmal 1/3 der Bevölkerung sie gewählt hat darf sie trotzdem weiter regieren.. Ist zum kotzen!	Es ist verrückt, obwohl weniger als ein Drittel der Bevölkerung für sie gestimmt hat.	de
Über 87% der Deutschen Wähler die eine Altpartei wählten, sind für mich strohdumm!!!	Über 87% der deutschen Wähler, die für eine konservative Partei gestimmt haben, sind für mich unintelligent.	de
Templer werden heute als Religiöse Spinner verurteilt. Das Gegenteil ist der Fall. Die Kirche hat uns missbraucht. Ein König verraten.	Die Templer werden heute als religiöse Menschen verurteilt, aber das Gegenteil ist wahr,	de
..du Suffschädel.....wir tolerieren bereits weitaus schlimmeres... !!	Wir haben schon viel Schlimmeres ertragen.	de
